,maxf,n_trees,Accuracy,Kappa,F1
0,1,100,0.7525464731347085,0.4248244604998601,0.5987930332312542
1,1,300,0.7655865376453612,0.4612453319624431,0.6303539544406886
2,1,500,0.7607057974705034,0.4516238629221107,0.6242258898508899
3,1,700,0.7655971479500892,0.46322060329740233,0.6326622218250659
4,1,900,0.7655865376453612,0.465129933948463,0.6360100003304074
5,1,1100,0.7721224853577795,0.4780686899395866,0.6433235281511742
6,1,1300,0.7688545115015704,0.47230768161238873,0.6411338878985938
7,1,1500,0.7704884984296749,0.476315681835804,0.6439525478652283
8,1,1700,0.7721118750530515,0.47928030179173886,0.645337109997454
9,1,1900,0.773745861981156,0.4834054442786148,0.6487209483812924
10,1,2100,0.7721118750530515,0.47928030179173886,0.645337109997454
11,2,100,0.7721012647483235,0.4783525528066929,0.6440645230054639
12,2,300,0.7753374076903489,0.48720322715560155,0.6517099567099568
13,2,500,0.7753480179950768,0.4898033803922833,0.6556935105275234
14,2,700,0.7769607843137255,0.49356291359392646,0.6582474334799916
15,2,900,0.7769713946184534,0.49286206411406325,0.6572281639928699
16,2,1100,0.7769713946184534,0.49286206411406325,0.6572281639928699
17,2,1300,0.7753374076903489,0.4877592798433945,0.6523658841869077
18,2,1500,0.7769713946184534,0.4918521457348412,0.655666214219911
19,2,1700,0.7785947712418301,0.4959478418953852,0.6587938205585264
20,2,1900,0.7785947712418301,0.49657144224732086,0.6592554604297639
21,2,2100,0.7802287581699346,0.5006643081387676,0.6625557904627672
22,3,100,0.775305576776165,0.4870162422886301,0.6518806491668834
23,3,300,0.7736822001527883,0.48494399897641693,0.6517372348557915
24,3,500,0.7769395637042695,0.4950810800588709,0.6606038556891907
25,3,700,0.7801969272557507,0.5005495131718124,0.6630854264782835
26,3,900,0.7802181478652066,0.5007675655970185,0.6634288330716902
27,3,1100,0.7785735506323741,0.4972318051382298,0.6606828855441893
28,3,1300,0.7818309141838553,0.5038150229970655,0.6650234109744075
29,3,1500,0.7867328749681692,0.5159024228006766,0.6739509175763329
30,3,1700,0.7850988880400646,0.5118948709058107,0.6708373644627796
31,3,1900,0.7850988880400646,0.5118948709058107,0.6708373644627796
32,3,2100,0.7818309141838553,0.5045402621326116,0.6656585424595014
33,4,100,0.7802181478652067,0.5004123713182,0.6625613131908893
34,4,300,0.778584160937102,0.49614225947174706,0.6591875377022345
35,4,500,0.7834649011119599,0.5102140427097253,0.671065571347384
36,4,700,0.7850988880400644,0.5140853807611292,0.673219514429319
37,4,900,0.7850882777353365,0.51333753502257,0.6726992347137206
38,4,1100,0.7883562515915457,0.5212789087070255,0.678120504528329
39,4,1300,0.7867328749681692,0.5172497875286941,0.6751179760833226
40,4,1500,0.7802181478652067,0.5022233599347117,0.6649168272781311
41,4,1700,0.7802075375604787,0.5018255488704368,0.6646471530552549
42,4,1900,0.7802075375604787,0.5018255488704368,0.6646471530552549
43,4,2100,0.7769607843137254,0.4956159917364868,0.6614468330232517
44,5,100,0.7720694338341396,0.4829527333705756,0.6513125281451791
45,5,300,0.7753267973856208,0.4925331310343621,0.6597798216159153
46,5,500,0.7737140310669721,0.4900144760773545,0.6587260575763042
47,5,700,0.7753267973856208,0.49512521543066157,0.6634832754206003
48,5,900,0.7769501740089975,0.49808465842005556,0.664905525736656
49,5,1100,0.7769501740089975,0.49808465842005556,0.664905525736656
50,5,1300,0.7769501740089975,0.49808465842005556,0.664905525736656
51,5,1500,0.7753161870808929,0.4940235726883471,0.6616848386567455
52,5,1700,0.7769501740089975,0.49808465842005556,0.664905525736656
53,5,1900,0.7769501740089975,0.49808465842005556,0.664905525736656
54,5,2100,0.7769501740089975,0.49808465842005556,0.664905525736656
55,6,100,0.7720800441388675,0.48091675743742995,0.6486310487497751
56,6,300,0.7720800441388675,0.4839354359372265,0.6521185995003995
57,6,500,0.7769607843137255,0.4945343080844435,0.6586010267693436
58,6,700,0.7753267973856208,0.4922793659926205,0.6585796669107972
59,6,900,0.7753374076903489,0.49260874806552296,0.6591510695187166
60,6,1100,0.770446057210763,0.4803824707910985,0.6501203870387039
61,6,1300,0.7769607843137255,0.49690770122440403,0.6622001413177885
62,6,1500,0.7785841609371021,0.5009677759585229,0.6652567693744165
63,6,1700,0.7736822001527883,0.4899338714220599,0.6584010008497782
64,6,1900,0.7785841609371021,0.5009677759585229,0.6652567693744165
65,6,2100,0.7769501740089975,0.49633944072673947,0.6616362949674253
66,7,100,0.7639843816314404,0.46937716865366175,0.6459111775381658
67,7,300,0.7769820049231814,0.4984091212097812,0.6647240751015657
68,7,500,0.7802287581699346,0.5059737223869732,0.6692838916746684
69,7,700,0.7737246413717002,0.4913463392723344,0.6597179222566221
70,7,900,0.7737246413717002,0.49267806610389836,0.6615921591308589
71,7,1100,0.778605381546558,0.5038999963473404,0.6695513133283382
72,7,1300,0.7753480179950768,0.49558849345982453,0.6629506438382025
73,7,1500,0.7720906544435956,0.4867672251104687,0.6560608759991043
74,7,1700,0.7753480179950768,0.4951157416232982,0.6627265719804671
75,7,1900,0.7753480179950768,0.4951157416232982,0.6627265719804671
76,7,2100,0.7753480179950768,0.4951157416232982,0.6627265719804671
77,8,100,0.770467277820219,0.48061685046130054,0.649971334971335
78,8,300,0.7753480179950768,0.49438969160610324,0.6612787024194791
