,cost,kernel,Accuracy,Kappa,F1
0,0.5,linear,0.7736928104575164,0.4678675971225512,0.6231620868180008
1,0.5,poly,0.7525358628299805,0.4340205655348722,0.6105985358277134
2,0.5,rbf,0.7687590187590188,0.45710351958057815,0.6138177905146271
3,0.5,sigmoid,0.6320134114251761,0.14808992710895963,0.40400177363928613
4,1.0,linear,0.7736822001527883,0.46795251456812104,0.6240732686858252
5,1.0,poly,0.7639101094983447,0.4577306648308727,0.6263404955478126
6,1.0,rbf,0.767156862745098,0.454711590464305,0.6155513176144244
7,1.0,sigmoid,0.6726614888379595,0.25573764930324483,0.49445881147859616
8,1.5,linear,0.7736822001527883,0.47015581201888446,0.6279106103425174
9,1.5,poly,0.759039979628215,0.4479359201467411,0.6214075820935702
10,1.5,rbf,0.7639101094983447,0.4505926225653424,0.6160851147824765
11,1.5,sigmoid,0.661297852474323,0.23587531572921275,0.4869224550407165
12,2.0,linear,0.7769289533995416,0.4790307509497057,0.6353352557325883
13,2.0,poly,0.7606739665563196,0.45302936898833535,0.6255990144151485
14,2.0,rbf,0.7606633562515915,0.44666309116009617,0.615958541568923
15,2.0,sigmoid,0.653170359052712,0.22040962620977042,0.47984143049932526
16,2.5,linear,0.775305576776165,0.4762741157762893,0.6340578257301652
17,2.5,poly,0.7590399796282149,0.4472665545416299,0.6203335414097062
18,2.5,rbf,0.7606633562515915,0.44743525741445334,0.6170802377646625
19,2.5,sigmoid,0.653170359052712,0.21931552851403838,0.47804005205321
20,3.0,linear,0.7769501740089975,0.4804336167781176,0.6377242675544197
21,3.0,poly,0.7606633562515915,0.4524304964643783,0.6256992045038969
22,3.0,rbf,0.7590505899329429,0.4432409210220519,0.6141756552973116
23,3.0,sigmoid,0.653170359052712,0.21932177462609562,0.47874919945919014
24,3.5,linear,0.7753267973856208,0.4773374168473208,0.6361891798351215
25,3.5,poly,0.7574059927001104,0.4449344521707139,0.6207758383963203
26,3.5,rbf,0.7590505899329429,0.4431839906799918,0.6141591644625217
27,3.5,sigmoid,0.6564171122994653,0.22834072519924878,0.4863268116160102
28,4.0,linear,0.7753267973856208,0.4773374168473208,0.6361891798351215
29,4.0,poly,0.7574059927001104,0.4449344521707139,0.6207758383963203
30,4.0,rbf,0.7541592394533572,0.42930562912084047,0.6026195107381181
31,4.0,sigmoid,0.6547725150666327,0.22614346576204553,0.4857048515179224
32,4.5,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
33,4.5,poly,0.7557826160767338,0.4429737563492544,0.6214151104150156
34,4.5,rbf,0.750891265597148,0.4213516172914811,0.5970787408970286
35,4.5,sigmoid,0.6547725150666327,0.22614346576204553,0.4857048515179224
36,5.0,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
